Inserting Teams:
Team ID		Depth
KCR1999         24
LAD1999         26
MIL1999         28
MIN1999         29
MON1999         30
NYM1999         31
NYY1999         31
OAK1999         32
PHI1999         33
PIT1999         34
SDP1999         35
SEA1999         36
SFG1999         37
STL1999         38
TBD1999         39
TEX1999         40
TOR1999         41
ANA1998         14
ARI1998         15
ATL1998         15
BAL1998         16
BOS1998         17
CHC1998         18
CHW1998         19
CIN1998         20
CLE1998         21
COL1998         22
DET1998         23
FLA1998         24
HOU1998         25
KCR1998         25
LAD1998         27
MIL1998         29
MIN1998         30
MON1998         31
NYM1998         32
NYY1998         32
OAK1998         33
PHI1998         34
PIT1998         35
SDP1998         36
SEA1998         37
SFG1998         38
STL1998         39
TBD1998         40
TEX1998         41
TOR1998         42
ANA1997         15
ATL1997         16
BAL1997         17
BOS1997         18
CHC1997         19
CHW1997         20
CIN1997         21
CLE1997         22
COL1997         23
DET1997         24
FLA1997         25
HOU1997         26
KCR1997         26
LAD1997         28
MIL1997         30
MIN1997         31
MON1997         32
NYM1997         33
NYY1997         33
OAK1997         34
PHI1997         35
PIT1997         36
SDP1997         37
SEA1997         38
SFG1997         39
STL1997         40
TEX1997         42
TOR1997         43
ATL1996         17
BAL1996         18
BOS1996         19
CAL1996         20
CHC1996         21
CHW1996         21
CIN1996         22
CLE1996         23
COL1996         24
DET1996         25
FLA1996         26
HOU1996         27
KCR1996         27
LAD1996         29
MIL1996         31
MIN1996         32
MON1996         33
NYM1996         34
NYY1996         34
OAK1996         35
PHI1996         36
PIT1996         37
SDP1996         38
SEA1996         39
SFG1996         40
STL1996         41
TEX1996         43
TOR1996         44
ATL1993         18
BAL1993         19
BOS1993         20
CAL1993         21
CHC1993         22
CHW1993         22
CIN1993         23
CLE1993         24
COL1993         25
DET1993         26
FLA1993         27
HOU1993         28
KCR1993         28
LAD1993         30
MIL1993         32
MIN1993         33
MON1993         34
NYM1993         35
NYY1993         35
OAK1993         36
PHI1993         37
PIT1993         38
SDP1993         39
SEA1993         40
SFG1993         41
STL1993         42
TEX1993         44
TOR1993         45
ATL1992         19
BAL1992         20
BOS1992         21
CAL1992         22
CHC1992         23
CHW1992         23
CIN1992         24
CLE1992         25
DET1992         27
HOU1992         29
KCR1992         29
LAD1992         31
MIL1992         33
MIN1992         34
MON1992         35
NYM1992         36
NYY1992         36
OAK1992         37
PHI1992         38
PIT1992         39
SDP1992         40
SEA1992         41
SFG1992         42
STL1992         43
TEX1992         45
TOR1992         46
ATL1991         20
BAL1991         21
BOS1991         22
CAL1991         23
CHC1991         24
CHW1991         24
CIN1991         25
CLE1991         26
DET1991         28
HOU1991         30
KCR1991         30
LAD1991         32
MIL1991         34
MIN1991         35
MON1991         36
NYM1991         37
NYY1991         37
OAK1991         38
PHI1991         39
PIT1991         40
SDP1991         41
SEA1991         42
SFG1991         43
STL1991         44
TEX1991         46
TOR1991         47
ATL1990         21
BAL1990         22
BOS1990         23
CAL1990         24
CHC1990         25
CHW1990         25
CIN1990         26
CLE1990         27
DET1990         29
HOU1990         31
KCR1990         31
LAD1990         33
MIL1990         35
MIN1990         36
MON1990         37
NYM1990         38
NYY1990         38
OAK1990         39
PHI1990         40
PIT1990         41
SDP1990         42
SEA1990         43
SFG1990         44
STL1990         45
TEX1990         47
TOR1990         48
ATL1989         22
BAL1989         23
BOS1989         24
CAL1989         25
CHC1989         26
CHW1989         26
CIN1989         27
CLE1989         28
DET1989         30
HOU1989         32
KCR1989         32
LAD1989         34
MIL1989         36
MIN1989         37
MON1989         38
NYM1989         39
NYY1989         39
OAK1989         40
PHI1989         41
PIT1989         42
SDP1989         43
SEA1989         44
SFG1989         45
STL1989         46
TEX1989         48
TOR1989         49
ATL1988         23
BAL1988         24
BOS1988         25
CAL1988         26
CHC1988         27
CHW1988         27
CIN1988         28
CLE1988         29
DET1988         31
HOU1988         33
KCR1988         33
LAD1988         35
MIL1988         37
MIN1988         38
MON1988         39
NYM1988         40
NYY1988         40
OAK1988         41
PHI1988         42
PIT1988         43
SDP1988         44
SEA1988         45
SFG1988         46
STL1988         47
TEX1988         49
TOR1988         50
ATL1987         24
BAL1987         25
BOS1987         26
CAL1987         27
CHC1987         28
CHW1987         28
CIN1987         29
CLE1987         30
DET1987         32
HOU1987         34
KCR1987         34
LAD1987         36
MIL1987         38
MIN1987         39
MON1987         40
NYM1987         41
NYY1987         41
OAK1987         42
PHI1987         43
PIT1987         44
SDP1987         45
SEA1987         46
SFG1987         47
STL1987         48
TEX1987         50
TOR1987         51
ATL1986         25
BAL1986         26
BOS1986         27
CAL1986         28
CHC1986         29
CHW1986         29
CIN1986         30
CLE1986         31
DET1986         33
HOU1986         35
KCR1986         35
LAD1986         37
MIL1986         39
MIN1986         40
MON1986         41
NYM1986         42
NYY1986         42
OAK1986         43
PHI1986         44
PIT1986         45
SDP1986         46
SEA1986         47
SFG1986         48
STL1986         49
TEX1986         51
TOR1986         52
ATL1985         26
BAL1985         27
BOS1985         28
CAL1985         29
CHC1985         30
CHW1985         30
CIN1985         31
CLE1985         32
DET1985         34
HOU1985         36
KCR1985         36
LAD1985         38
MIL1985         40
MIN1985         41
MON1985         42
NYM1985         43
NYY1985         43
OAK1985         44
PHI1985         45
PIT1985         46
SDP1985         47
SEA1985         48
SFG1985         49
STL1985         50
TEX1985         52
TOR1985         53
ATL1984         27
BAL1984         28
BOS1984         29
CAL1984         30
CHC1984         31
CHW1984         31
CIN1984         32
CLE1984         33
DET1984         35
HOU1984         37
KCR1984         37
LAD1984         39
MIL1984         41
MIN1984         42
MON1984         43
NYM1984         44
NYY1984         44
OAK1984         45
PHI1984         46
PIT1984         47
SDP1984         48
SEA1984         49
SFG1984         50
STL1984         51
TEX1984         53
TOR1984         54
ATL1983         28
BAL1983         29
BOS1983         30
CAL1983         31
CHC1983         32
CHW1983         32
CIN1983         33
CLE1983         34
DET1983         36
HOU1983         38
KCR1983         38
LAD1983         40
MIL1983         42
MIN1983         43
MON1983         44
NYM1983         45
NYY1983         45
OAK1983         46
PHI1983         47
PIT1983         48
SDP1983         49
SEA1983         50
SFG1983         51
STL1983         52
TEX1983         54
TOR1983         55
ATL1982         29
BAL1982         30
BOS1982         31
CAL1982         32
CHC1982         33
CHW1982         33
CIN1982         34
CLE1982         35
DET1982         37
HOU1982         39
KCR1982         39
LAD1982         41
MIL1982         43
MIN1982         44
MON1982         45
NYM1982         46
NYY1982         46
OAK1982         47
PHI1982         48
PIT1982         49
SDP1982         50
SEA1982         51
SFG1982         52
STL1982         53
TEX1982         55
TOR1982         56
ATL1980         30
BAL1980         31
BOS1980         32
CAL1980         33
CHC1980         34
CHW1980         34
CIN1980         35
CLE1980         36
DET1980         38
HOU1980         40
KCR1980         40
LAD1980         42
MIL1980         44
MIN1980         45
MON1980         46
NYM1980         47
NYY1980         47
OAK1980         48
PHI1980         49
PIT1980         50
SDP1980         51
SEA1980         52
SFG1980         53
STL1980         54
TEX1980         56
TOR1980         57
ATL1979         31
BAL1979         32
BOS1979         33
CAL1979         34
CHC1979         35
CHW1979         35
CIN1979         36
CLE1979         37
DET1979         39
HOU1979         41
KCR1979         41
LAD1979         43
MIL1979         45
MIN1979         46
MON1979         47
NYM1979         48
NYY1979         48
OAK1979         49
PHI1979         50
PIT1979         51
SDP1979         52
SEA1979         53
SFG1979         54
STL1979         55
TEX1979         57
TOR1979         58
ATL1978         32
BAL1978         33
BOS1978         34
CAL1978         35
CHC1978         36
CHW1978         36
CIN1978         37
CLE1978         38
DET1978         40
HOU1978         42
KCR1978         42
LAD1978         44
MIL1978         46
MIN1978         47
MON1978         48
NYM1978         49
NYY1978         49
OAK1978         50
PHI1978         51
PIT1978         52
SDP1978         53
SEA1978         54
SFG1978         55
STL1978         56
TEX1978         58
TOR1978         59
ATL1977         33
BAL1977         34
BOS1977         35
CAL1977         36
CHC1977         37
CHW1977         37
CIN1977         38
CLE1977         39
DET1977         41
HOU1977         43
KCR1977         43
LAD1977         45
MIL1977         47
MIN1977         48
MON1977         49
NYM1977         50
NYY1977         50
OAK1977         51
PHI1977         52
PIT1977         53
SDP1977         54
SEA1977         55
SFG1977         56
STL1977         57
TEX1977         59
TOR1977         60
ATL1976         34
BAL1976         35
BOS1976         36
CAL1976         37
CHC1976         38
CHW1976         38
CIN1976         39
CLE1976         40
DET1976         42
HOU1976         44
KCR1976         44
LAD1976         46
MIL1976         48
MIN1976         49
MON1976         50
NYM1976         51
NYY1976         51
OAK1976         52
PHI1976         53
PIT1976         54
SDP1976         55
SFG1976         57
STL1976         58
TEX1976         60
ATL1975         35
BAL1975         36
BOS1975         37
CAL1975         38
CHC1975         39
CHW1975         39
CIN1975         40
CLE1975         41
DET1975         43
HOU1975         45
KCR1975         45
LAD1975         47
MIL1975         49
MIN1975         50
MON1975         51
NYM1975         52
NYY1975         52
OAK1975         53
PHI1975         54
PIT1975         55
SDP1975         56
SFG1975         58
STL1975         59
TEX1975         61
ATL1974         36
BAL1974         37
BOS1974         38
CAL1974         39
CHC1974         40
CHW1974         40
CIN1974         41
CLE1974         42
DET1974         44
HOU1974         46
KCR1974         46
LAD1974         48
MIL1974         50
MIN1974         51
MON1974         52
NYM1974         53
NYY1974         53
OAK1974         54
PHI1974         55
PIT1974         56
SDP1974         57
SFG1974         59
STL1974         60
TEX1974         62
ATL1973         37
BAL1973         38
BOS1973         39
CAL1973         40
CHC1973         41
CHW1973         41
CIN1973         42
CLE1973         43
DET1973         45
HOU1973         47
KCR1973         47
LAD1973         49
MIL1973         51
MIN1973         52
MON1973         53
NYM1973         54
NYY1973         54
OAK1973         55
PHI1973         56
PIT1973         57
SDP1973         58
SFG1973         60
STL1973         61
TEX1973         63
ATL1971         38
BAL1971         39
BOS1971         40
CAL1971         41
CHC1971         42
CHW1971         42
CIN1971         43
CLE1971         44
DET1971         46
HOU1971         48
KCR1971         48
LAD1971         50
MIL1971         52
MIN1971         53
MON1971         54
NYM1971         55
NYY1971         55
OAK1971         56
PHI1971         57
PIT1971         58
SDP1971         59
SFG1971         61
STL1971         62
WSA1971         37
ATL1970         39
BAL1970         40
BOS1970         41
CAL1970         42
CHC1970         43
CHW1970         43
CIN1970         44
CLE1970         45
DET1970         47
HOU1970         49
KCR1970         49
LAD1970         51
MIL1970         53
MIN1970         54
MON1970         55
NYM1970         56
NYY1970         56
OAK1970         57
PHI1970         58
PIT1970         59
SDP1970         60
SFG1970         62
STL1970         63
WSA1970         38
ATL1969         40
BAL1969         41
BOS1969         42
CAL1969         43
CHC1969         44
CHW1969         44
CIN1969         45
CLE1969         46
DET1969         48
HOU1969         50
KCR1969         50
LAD1969         52
MIN1969         55
MON1969         56
NYM1969         57
NYY1969         57
OAK1969         58
PHI1969         59
PIT1969         60
SDP1969         61
SEP1969         63
SFG1969         64
STL1969         64
WSA1969         39
ATL1968         41
BAL1968         42
BOS1968         43
CAL1968         44
CHC1968         45
CHW1968         45
CIN1968         46
CLE1968         47
DET1968         49
HOU1968         51
LAD1968         53
MIN1968         56
NYM1968         58
NYY1968         58
OAK1968         59
PHI1968         60
PIT1968         61
SFG1968         65
STL1968         65
WSA1968         40
ATL1967         42
BAL1967         43
BOS1967         44
CAL1967         45
CHC1967         46
CHW1967         46
CIN1967         47
CLE1967         48
DET1967         50
HOU1967         52
KCA1967         51
LAD1967         54
MIN1967         57
NYM1967         59
NYY1967         59
PHI1967         61
PIT1967         62
SFG1967         66
STL1967         66
WSA1967         41
ATL1966         43
BAL1966         44
BOS1966         45
CAL1966         46
CHC1966         47
CHW1966         47
CIN1966         48
CLE1966         49
DET1966         51
HOU1966         53
KCA1966         52
LAD1966         55
MIN1966         58
NYM1966         60
NYY1966         60
PHI1966         62
PIT1966         63
SFG1966         67
STL1966         67
WSA1966         42
BAL1965         45
BOS1965         46
CAL1965         47
CHC1965         48
CHW1965         48
CIN1965         49
CLE1965         50
DET1965         52
HOU1965         54
KCA1965         53
LAD1965         56
MIN1965         59
MLN1965         57
NYM1965         61
NYY1965         61
PHI1965         63
PIT1965         64
SFG1965         68
STL1965         68
WSA1965         43
BAL1964         46
BOS1964         47
CHC1964         49
CHW1964         49
CIN1964         50
CLE1964         51
DET1964         53
HOU1964         55
KCA1964         54
LAA1964         20
LAD1964         57
MIN1964         60
MLN1964         58
NYM1964         62
NYY1964         62
PHI1964         64
PIT1964         65
SFG1964         69
STL1964         69
WSA1964         44
BAL1963         47
BOS1963         48
CHC1963         50
CHW1963         50
CIN1963         51
CLE1963         52
DET1963         54
HOU1963         56
KCA1963         55
LAA1963         21
LAD1963         58
MIN1963         61
MLN1963         59
NYM1963         63
NYY1963         63
PHI1963         65
PIT1963         66
SFG1963         70
STL1963         70
WSA1963         45
BAL1962         48
BOS1962         49
CHC1962         51
CHW1962         51
CIN1962         52
CLE1962         53
DET1962         55
HOU1962         57
KCA1962         56
LAA1962         22
LAD1962         59
MIN1962         62
MLN1962         60
NYM1962         64
NYY1962         64
PHI1962         66
PIT1962         67
SFG1962         71
STL1962         71
WSA1962         46
